Tasks,Machines,Johnsoon time,Johnson cmax,neh time,neh cmax,neh1 time,neh1 cmax,neh2 time,neh2 cmax,neh3 time,neh3 cmax,neh4 time,neh4 cmax
5,5,3.5537799703888595e-05,87.0,0.00019453020140645095,84.0,0.00035086400021100417,84.0,0.00035925819902331567,84.0,0.0003710001998115331,84.0,0.0003949293997720815,84.0
5,10,3.773200005525723e-05,121.2,0.0002090956004394684,119.4,0.000500729800114641,119.4,0.0005219221995503176,119.4,0.0004919539998809342,119.4,0.0005681882001226767,117.6
5,15,3.873680034303106e-05,173.0,0.00026626820035744456,167.4,0.0006432120004319586,167.2,0.000677843999437755,167.2,0.0006623948007472791,167.0,0.0007785986003000289,167.0
10,5,5.8198000624543055e-05,128.0,0.0009308476001024246,122.2,0.0019854245998430996,122.0,0.002050908798992168,122.0,0.0021192469997913578,122.0,0.0027660434003337286,120.6
10,10,8.314500155393034e-05,177.2,0.0014599524001823738,165.2,0.0032779190012661276,165.0,0.0033747558009054046,165.0,0.003319167198787909,165.0,0.004294319199834718,165.2
10,15,8.159120116033592e-05,238.6,0.0019897550009773113,223.0,0.004498652600159403,222.2,0.004384316800133093,222.2,0.004512249400431756,222.2,0.005903346400737064,223.6
50,5,0.0002837918000295758,450.2,0.0813463407997915,433.6,0.16638112379951053,432.8,0.16707847159923403,434.0,0.16669958940110519,432.8,0.24487408799905097,433.6
50,10,0.0003496515993901994,554.4,0.14942156660035835,510.2,0.30281652180055973,509.4,0.3040937399993709,507.6,0.30221436339998037,506.4,0.4383044763999351,505.0
50,15,0.000428695599839557,614.8,0.21697767279983965,563.0,0.43781174219984675,561.2,0.43392753859952793,560.6,0.4345760180003708,560.6,0.638218691200018,553.8
100,5,0.0007522976004111115,888.0,0.6917168066000159,855.6,1.3872949550001068,854.6,1.3808608434002962,855.0,1.376037579399417,855.0,2.055181731800258,854.4
100,10,0.0009181462010019459,982.0,1.2289990319994104,914.2,2.4657277920006893,910.4,2.4761642442004814,912.2,2.479684322400135,912.8,3.640902746600477,911.0
100,15,0.0011171981997904368,1101.0,1.8062707232013053,975.4,3.657416364800156,973.8,3.659196944600262,978.0,3.6627041866013315,974.0,5.390702237200458,973.4
150,5,0.001473433800128987,1299.8,2.4022074676009653,1258.8,4.897620049399848,1259.2,4.828240159001143,1259.4,4.841721077801049,1259.4,7.230526051000197,1259.0
150,10,0.001712525200127857,1430.0,4.276288465799735,1327.8,8.567711096999847,1327.2,8.638411524999537,1330.0,8.725491909399716,1330.0,12.830549467999663,1323.0
150,15,0.002139828998770099,1531.2,6.192911907201051,1393.4,12.323088848601037,1394.6,12.360806159599452,1396.0,12.397443292400567,1394.4,18.37682285799965,1389.8
